0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,label
0,0,2,1,0,15,1,9,0,19,1,4,0,0,2,1,0,8,1,7,0,13,3,6,7,7,-1
0,2,3,3,0,7,2,6,0,0,2,1,0,17,1,3,0,11,2,9,0,4,1,2,6,6,115
0,7,2,6,0,0,2,1,0,17,1,3,0,11,2,9,0,4,1,2,0,18,2,2,7,7,-1
0,2,3,3,0,7,2,6,0,0,2,1,0,17,1,3,0,11,2,9,0,8,1,7,6,6,101
0,7,2,6,0,0,2,1,0,17,1,3,0,11,2,9,0,8,1,7,0,4,1,2,7,7,-1
0,2,3,3,0,7,2,6,0,4,1,2,0,11,2,9,0,18,2,2,0,4,1,2,6,6,97
0,7,2,6,0,4,1,2,0,11,2,9,0,18,2,2,0,4,1,2,0,0,2,1,7,7,-1
0,2,3,3,0,7,2,6,0,4,1,2,0,18,2,2,0,19,1,4,0,4,1,2,6,6,114
0,7,2,6,0,4,1,2,0,18,2,2,0,19,1,4,0,4,1,2,0,17,1,3,7,7,-1
0,2,3,3,0,7,2,6,0,8,1,7,0,2,3,3,0,0,2,1,0,6,2,5,6,6,111
0,7,2,6,0,8,1,7,0,2,3,3,0,0,2,1,0,6,2,5,0,14,1,8,7,7,-1
0,2,3,3,0,7,2,6,0,8,1,7,0,2,3,3,0,10,2,8,0,4,1,2,6,6,110
0,7,2,6,0,8,1,7,0,2,3,3,0,10,2,8,0,4,1,2,0,13,3,6,7,7,-1
0,2,3,3,0,14,1,8,0,2,3,3,0,0,2,1,0,2,3,3,0,14,1,8,6,6,108
0,14,1,8,0,2,3,3,0,0,2,1,0,2,3,3,0,14,1,8,0,11,2,9,7,7,97
0,2,3,3,0,0,2,1,0,2,3,3,0,14,1,8,0,11,2,9,0,0,2,1,8,8,-1
0,2,3,3,0,14,1,8,0,11,2,9,0,11,2,9,0,4,1,2,0,6,2,5,6,6,101
0,14,1,8,0,11,2,9,0,11,2,9,0,4,1,2,0,6,2,5,0,4,1,2,7,7,-1
0,2,3,3,0,14,1,8,0,12,3,7,0,15,1,9,0,20,1,6,0,19,1,4,6,6,101
0,14,1,8,0,12,3,7,0,15,1,9,0,20,1,6,0,19,1,4,0,4,1,2,7,7,114
0,12,3,7,0,15,1,9,0,20,1,6,0,19,1,4,0,4,1,2,0,17,1,3,8,8,-1
0,2,3,3,0,14,1,8,0,17,1,3,0,21,3,4,0,4,1,2,0,19,1,4,6,6,116
0,14,1,8,0,17,1,3,0,21,3,4,0,4,1,2,0,19,1,4,0,19,1,4,7,7,101
0,17,1,3,0,21,3,4,0,4,1,2,0,19,1,4,0,19,1,4,0,4,1,2,8,8,-1
0,2,3,3,0,14,1,8,0,22,1,1,0,1,3,5,0,14,1,8,0,24,1,5,6,6,115
0,14,1,8,0,22,1,1,0,1,3,5,0,14,1,8,0,24,1,5,0,18,2,2,7,7,-1
0,2,3,3,0,17,1,3,0,24,1,5,0,18,2,2,0,19,1,4,0,0,2,1,6,6,108
0,17,1,3,0,24,1,5,0,18,2,2,0,19,1,4,0,0,2,1,0,11,2,9,7,7,-1
0,2,3,3,0,20,1,6,0,12,3,7,0,12,3,7,0,8,1,7,0,13,3,6,6,6,103
0,20,1,6,0,12,3,7,0,12,3,7,0,8,1,7,0,13,3,6,0,6,2,5,7,7,-1
0,2,3,3,0,20,1,6,0,12,3,7,0,18,2,2,0,7,2,6,0,14,1,8,6,6,116
0,20,1,6,0,12,3,7,0,18,2,2,0,7,2,6,0,14,1,8,0,19,1,4,7,7,-1
